id_retalt;nom_ouv;volume_m3;confinement;annee_construction;classement;departement;surface_m2;surface_sig_m2;altitude_sig_m;type_ouvrage;ce500;ce2000;pe500;pe2000
40;Col du Joly;52000;partiel;2007;NA;74;9200;9227;1959.13333333333;retenue_altitude;1423.06163125745;10365.6402354707;0;4475.4049999871
60;Gouilles Rouges;46000;naturel;1980;NA;74;14060;14041;1777.95454545455;lac_rehausse;1172.88177240267;9549.55561045092;0;31719.2649999923
61;Jaillet;21000;aucun;2008;NA;74;6000;5754;1530.88888888889;retenue_altitude;872.416386496083;10868.045917584;0;0
62;Javen;68000;NA;1997;NA;74;14380;12119;1398.76470588235;retenue_altitude;3226.9429418845;21541.6982522724;0;0
63;Rosay;12000;aucun;1995;NA;74;2350;2581;1660;retenue_altitude;0;6554.35404224219;0;0
64;Creve Coeur;11000;aucun;1994;NA;74;2450;2822;1455.4;retenue_altitude;1100.7435887705;8640.36159232334;0;0
65;Beauregard Ferriaz;44000;aucun;2004;NA;74;8545;8871;1337.46153846154;retenue_altitude;1274.61538965322;11228.5021853894;0;0
66;Cour;55000;aucun;1994;NA;74;12000;12682;1432.4347826087;retenue_altitude;1010.91735467956;4944.95810690206;0;0
71;Cret du Merle;27000;aucun;1994;NA;74;5580;5230;1455.22222222222;retenue_altitude;0;10390.7720867475;0;0
72;Balme Lachat;145000;partiel;2013;NA;74;19850;19639;1418.57142857143;retenue_altitude;0;2302.41392584262;0;42072.4549999774
73;Etale;55000;aucun;2007;NA;74;10145;9961;1533.8125;retenue_altitude;0;7041.67394224365;0;0
74;Combe de Pelluaz;41000;partiel;1999;NA;74;7000;6267;1554.875;retenue_altitude;648.06631249929;8646.88166879553;0;6237.62500000026
75;Corbeau Hirmentaz;16000;aucun;1999;NA;74;4000;4800;1413.5;retenue_altitude;433.407268869914;8760.91358253876;0;0
76;Vernant;110000;naturel;1970;NA;74;44000;31762;1839.33333333333;lac_rehausse;1418.72045619559;7095.15540467369;0;0
77;Nyon-Guerin;80000;aucun;2003;NA;74;12000;13417;1620.28;retenue_altitude;0;3724.29020329608;0;22325.5750000417
78;Marais;4000;aucun;1996;NA;74;1800;1669;1456.33333333333;retenue_altitude;0;8785.02692606952;0;246.287065970483
79;Ecoles Mouille des Boittets;18800;partiel;1992;NA;74;4000;9016;1239.53333333333;retenue_altitude;1036.51101577602;9061.92612006031;0;16199.1769118818
80;Pellys;20000;total;2000;NA;74;6000;6062;1171.84615384615;retenue_altitude;1732.44665836662;14310.5789684378;0;0
